Loan_Amount_Term,Credit_History,LoanAmount_log,TotalIncome_log,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_Status
360.0,0.0,5.170483995038151,8.055157731819678,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,N
180.0,1.0,5.220355825078324,9.339524830357009,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.499809670330265,8.528924114291936,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,Y
360.0,1.0,4.7535901911063645,8.671286726753637,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,Y
360.0,1.0,4.927253685157205,8.631592731724734,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.605170185988092,8.77137018531062,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.700480365792417,8.200837258379849,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.499809670330265,8.235890725928495,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,Y
360.0,1.0,5.298317366548036,9.116029692504942,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.430816798843313,8.20685642839965,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.220355825078324,9.006999447958153,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.087596335232384,8.637284671674058,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,Y
360.0,1.0,4.68213122712422,8.356554845453426,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,Y
360.0,1.0,5.231108616854587,9.22325659724273,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.231108616854587,9.017968479328726,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,Y
360.0,1.0,4.820281565605037,8.325063693631197,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.787491742782046,8.374015421739909,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,Y
360.0,1.0,5.075173815233827,8.79133399330135,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,Y
180.0,1.0,3.4011973816621555,8.540128162698734,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.5217885770490405,8.574140471857987,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,Y
360.0,0.0,4.867534450455582,7.919356190660617,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,N
360.0,1.0,4.867534450455582,8.389814262086407,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,Y
180.0,1.0,4.897839799950911,8.87514731685335,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,Y
360.0,0.0,5.170483995038151,8.770749549138642,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,N
180.0,1.0,4.499809670330265,8.459564078579602,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,Y
360.0,1.0,4.700480365792417,8.327484416188264,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,Y
360.0,1.0,4.8283137373023015,8.896724917497897,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,Y
360.0,1.0,5.241747015059643,8.510772623613315,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,Y
360.0,0.0,4.68213122712422,8.188966863648876,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,N
360.0,1.0,4.8283137373023015,8.4096079807363,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,Y
360.0,1.0,4.927253685157205,8.779557455883728,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,0.0,4.90527477843843,8.45531778769815,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,N
360.0,0.0,4.867534450455582,8.144679183447758,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,N
360.0,1.0,5.231108616854587,8.9445502459405,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,0.0,5.236441962829949,8.93102321585603,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,N
360.0,1.0,4.553876891600541,8.086410275323782,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.174387269895637,8.40357646462927,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
60.0,1.0,4.9344739331306915,8.675563527387679,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.44673737166631,8.69851424787661,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,Y
360.0,1.0,4.969813299576001,9.027978814382207,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,Y
360.0,1.0,5.043425116919247,8.85623355614316,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.225746673713202,8.622633703874234,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,3.912023005428146,8.757154527656606,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,Y
360.0,1.0,4.91362938638163,8.91811465947453,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,5.220355825078324,8.980927207648378,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,0.0,5.093750200806762,8.503499864284235,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,N
360.0,1.0,5.886104031450156,11.191741760864094,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,Y
480.0,0.0,5.003946305945459,8.327484416188264,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,N
360.0,1.0,5.54907608489522,9.041803370152845,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,Y
180.0,0.0,4.875197323201151,8.40200678160712,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,N
180.0,1.0,4.624972813284271,9.444226019822295,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.90527477843843,8.610319169405722,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.553876891600541,8.028129059431759,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.343805421853684,8.565983355585669,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,Y
360.0,1.0,5.298317366548036,8.52872642722991,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.867534450455582,8.607764889600624,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,Y
360.0,1.0,5.966146739123692,9.511777409660299,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,Y
360.0,1.0,5.220355825078324,8.834045641167798,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.605170185988092,8.765926513729443,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,Y
360.0,0.0,4.812184355372417,8.845345196421732,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,N
360.0,1.0,4.700480365792417,8.741935464094144,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,Y
360.0,1.0,5.545177444479562,8.927048647825695,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.941642422609304,8.817297783866575,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.110873864173311,9.181838011503471,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,Y
360.0,1.0,5.236441962829949,8.82981174915805,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,Y
360.0,1.0,4.875197323201151,8.401108712395436,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
480.0,0.0,4.91362938638163,7.724004656676065,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,N
360.0,1.0,4.7535901911063645,8.268988209506656,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,Y
180.0,1.0,3.912023005428146,7.8961806086154915,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,Y
360.0,1.0,4.672828834461906,8.406485069431817,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,5.298317366548036,8.456168489578463,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,0.0,4.77912349311153,8.118505067587098,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,N
360.0,1.0,4.787491742782046,8.414717399827001,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,Y
360.0,1.0,4.941642422609304,8.411832675758411,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,5.10594547390058,8.67812085552252,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,Y
360.0,1.0,4.68213122712422,8.464214266625351,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,Y
360.0,1.0,4.532599493153256,8.31434234336979,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.624972813284271,8.136518252115291,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.804021044733257,8.75115798136203,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,Y
360.0,1.0,5.075173815233827,9.096163326913784,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,5.056245805348308,9.031931152002144,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,Y
360.0,1.0,5.19295685089021,7.473069088032197,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,Y
360.0,0.0,4.382026634673881,8.392989587956931,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,N
360.0,0.0,4.6443908991413725,8.395703293828527,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,N
360.0,0.0,5.3612921657094255,8.350902451694811,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,N
360.0,1.0,4.174387269895637,8.047189562170502,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.983606621708336,8.721928343047091,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.90527477843843,8.499029220788566,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,Y
360.0,0.0,5.231108616854587,9.0953783535065,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,N
360.0,0.0,5.703782474656201,9.433483923290392,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,N
360.0,1.0,4.787491742782046,8.448271745949816,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,0.0,4.2626798770413155,8.779557455883728,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,N
360.0,1.0,5.41610040220442,8.922658299524402,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,Y
180.0,1.0,4.248495242049359,8.030409562130485,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.248495242049359,8.595819511871428,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,Y
360.0,1.0,4.820281565605037,8.434463543817241,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.882801922586371,8.128880142125638,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.653960350157523,8.48879371689454,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,Y
360.0,1.0,4.499809670330265,8.194229304819817,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,Y
84.0,1.0,4.418840607796598,8.294049640102028,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.8283137373023015,8.356554845453426,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.990432586778736,8.411832675758411,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.787491742782046,8.504918160540624,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.700480365792417,8.430109084509125,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.634728988229636,8.314587291319576,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,Y
360.0,0.0,5.0106352940962555,8.461046030793236,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,N
240.0,1.0,4.605170185988092,8.714074899541522,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,Y
360.0,0.0,4.9344739331306915,8.898638793680181,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,N
360.0,1.0,6.309918278226516,10.373491181781864,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,Y
12.0,1.0,5.560681631015528,9.295600215927006,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,Y
300.0,1.0,5.0106352940962555,9.46815584482167,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.499809670330265,8.09437844497296,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,Y
360.0,0.0,5.293304824724492,9.071423072789514,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,N
360.0,1.0,4.9344739331306915,8.605020901781758,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,5.0106352940962555,8.68270762989381,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.19295685089021,8.906528917594517,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.727387818712341,8.352082671352637,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.997212273764115,8.517193191416238,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,0.0,4.762173934797756,8.481151420068972,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,N
360.0,1.0,4.276666119016055,8.487764380725425,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,Y
300.0,1.0,4.8283137373023015,8.312135107648412,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,Y
360.0,1.0,5.365976015021851,9.046879822823147,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,Y
350.0,1.0,4.890349128221754,8.798454696065095,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,5.231108616854587,9.03025631012242,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.962844630259907,8.973984926689743,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,Y
360.0,1.0,5.342334251964811,9.036701015565063,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,0.0,4.430816798843313,7.994294986415977,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,N
360.0,1.0,4.7535901911063645,8.62748154531036,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.174387269895637,7.903965634032166,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
240.0,1.0,4.382026634673881,8.62155320674048,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,Y
360.0,0.0,5.135798437050262,7.7266536648476425,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,N
360.0,0.0,4.787491742782046,8.057694194815587,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,N
360.0,1.0,4.90527477843843,8.733755131364893,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,0.0,4.543294782270004,8.452121194672523,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,N
360.0,1.0,4.3694478524670215,8.1786387885907,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.700480365792417,8.28349412616251,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.867534450455582,8.40804774415544,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,Y
360.0,1.0,4.962844630259907,8.561210076833012,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,Y
180.0,0.0,5.0689042022202315,8.676246121270838,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,N
360.0,0.0,4.700480365792417,8.35490952835879,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,N
360.0,1.0,5.075173815233827,9.161780181360806,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.875197323201151,8.671286726753637,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,Y
360.0,1.0,4.174387269895637,7.978653729082731,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.962844630259907,8.542470998600505,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,Y
360.0,1.0,5.231108616854587,9.636392113692736,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,Y
360.0,1.0,5.075173815233827,8.793308627496552,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,Y
360.0,1.0,5.10594547390058,8.892748769118258,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.700480365792417,8.379768515504566,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.153291594497779,8.976767625171433,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,5.0106352940962555,9.29798488182823,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,Y
360.0,1.0,4.90527477843843,8.40804774415544,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,Y
360.0,1.0,5.0106352940962555,8.649098262296176,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,Y
360.0,1.0,5.459585514144159,9.123365357961776,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.91362938638163,9.479068956510876,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,Y
360.0,1.0,5.817111159963204,9.379323364330956,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,Y
84.0,1.0,4.882801922586371,8.374015421739909,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.564348191467836,8.314587291319576,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,0.0,5.19295685089021,8.80941494391005,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,N
360.0,0.0,4.852030263919617,8.445052513638554,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,N
360.0,1.0,6.021023349349527,9.448569560708433,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.7535901911063645,8.671286726753637,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,Y
360.0,0.0,4.736198448394496,8.475537516147405,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,N
360.0,1.0,4.74493212836325,8.1886891244442,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,Y
360.0,0.0,4.6443908991413725,8.083328608786376,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,N
360.0,1.0,4.477336814478207,8.114324709155339,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,Y
480.0,1.0,4.68213122712422,9.071767722112243,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,Y
360.0,1.0,4.499809670330265,8.130647968160584,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,Y
360.0,1.0,4.605170185988092,8.370084326378025,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.68213122712422,8.618485442898109,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.356708826689592,8.035602692918582,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.812184355372417,8.523175263093785,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,5.231108616854587,8.930626469173578,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.983606621708336,8.332548939252638,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.382026634673881,8.345930261979017,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.605170185988092,8.71028982137815,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,Y
360.0,1.0,4.007333185232471,7.767263996757308,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,0.0,5.298317366548036,8.953252164609035,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,N
360.0,1.0,5.0106352940962555,8.591186871324563,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,Y
360.0,1.0,5.0106352940962555,8.649623978596727,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.770684624465665,8.91905180393029,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,Y
300.0,1.0,5.0106352940962555,8.52595469708481,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,Y
36.0,1.0,4.770684624465665,8.557374981049069,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,Y
360.0,1.0,5.356586274672012,9.211639527707803,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,5.356586274672012,8.803123730829212,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,Y
360.0,1.0,4.8283137373023015,8.680331928793418,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.68213122712422,8.37378460812088,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.003946305945459,8.64259160081057,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,Y
480.0,1.0,4.382026634673881,7.971085753505607,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,Y
300.0,1.0,5.0238805208462765,8.529516941105069,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,Y
360.0,0.0,5.231108616854587,8.55333223803211,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,N
360.0,1.0,4.30406509320417,7.841885928984623,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.624972813284271,8.371242135931933,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.605170185988092,8.888066854754783,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.867534450455582,8.550047528287184,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,0.0,4.8283137373023015,8.55256033525353,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,N
360.0,1.0,4.867534450455582,10.289362010879287,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.927253685157205,8.673855001429615,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,Y
180.0,1.0,3.332204510175204,7.925518979786926,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,Y
360.0,1.0,4.5217885770490405,8.935903526274423,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.6443908991413725,8.280204233279974,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,0.0,5.170483995038151,8.518192691749322,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,N
360.0,0.0,4.762173934797756,8.920656296853728,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,N
360.0,1.0,4.624972813284271,9.910909938351766,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,Y
360.0,1.0,4.672828834461906,8.195057690895077,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,Y
